"Species","Forest","Savanna","Shrubland","Grassland","Wetlands","Rocky areas","Caves and Subterranean Habitats","Desert","Marine Neritic","Marine Oceanic","Marine Deep Ocean Floor","Marine Intertidal","Marine Coastal/Supratidal","Artificial/Terrestrial","Artificial/Aquatic","Introduced Vegetation","Other","Unknown"
2422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2485,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
2491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
