"Species","Forest","Savanna","Shrubland","Grassland","Wetlands","Rocky areas","Caves and Subterranean Habitats","Desert","Marine Neritic","Marine Oceanic","Marine Deep Ocean Floor","Marine Intertidal","Marine Coastal/Supratidal","Artificial/Terrestrial","Artificial/Aquatic","Introduced Vegetation","Other","Unknown"
2156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
