"Species","Forest","Savanna","Shrubland","Grassland","Wetlands","Rocky areas","Caves and Subterranean Habitats","Desert","Marine Neritic","Marine Oceanic","Marine Deep Ocean Floor","Marine Intertidal","Marine Coastal/Supratidal","Artificial/Terrestrial","Artificial/Aquatic","Introduced Vegetation","Other","Unknown"
775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
848,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1030,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1075,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1951,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1125,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
