"Species","Forest","Savanna","Shrubland","Grassland","Wetlands","Rocky areas","Caves and Subterranean Habitats","Desert","Marine Neritic","Marine Oceanic","Marine Deep Ocean Floor","Marine Intertidal","Marine Coastal/Supratidal","Artificial/Terrestrial","Artificial/Aquatic","Introduced Vegetation","Other","Unknown"
696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
